Id,Sales
1,9977.573206564188
2,12639.128654422651
3,18923.40119847539
4,12835.078641508026
5,10270.836448205673
6,10521.674934184728
7,13909.761564073677
8,13084.673886387463
9,9586.26098416099
10,10037.772598667096
11,12470.312171711948
12,14063.350698894172
13,12630.353719065572
14,17767.437894286515
15,9571.798075261644
16,10476.160408535956
17,10681.440779421519
18,20213.808973962354
19,19623.597155617637
20,19267.843571066765
21,11061.20998308194
22,10102.028229226846
23,11343.244801154853
24,10441.599012084445
25,14020.14638177702
26,20551.332547567516
27,18049.997652050428
28,10195.187294242696
29,10413.724841639525
30,9967.100074220258
31,9568.854361786227
32,19870.85761466129
33,13164.226345791962
34,11134.127449934074
35,9184.6977595446
36,11062.481033123364
37,9656.767278675525
38,11572.476293935011
39,10508.021841074915
40,10895.567200506732
41,11203.363122896204
42,11121.67631627666
43,12104.94827835365
44,10380.628430958053
45,9871.644636895277
46,12712.445500321888
47,11924.171985834613
48,21676.74022822428
49,12258.555260790392
50,13123.989624908827
51,11098.046981367868
52,20059.744330896137
53,11457.470091643474
54,20501.129506615172
55,10567.04540343748
56,10997.004757392453
57,11025.933639042447
58,11481.885880324786
59,18703.478027455036
60,11754.766734194558
61,10898.384139636413
62,13983.404568253896
63,8831.687959095198
64,21392.66447200906
65,9836.823312925151
66,22220.57901002872
67,10440.672491522877
68,10721.236629344963
69,14976.767993581689
70,10453.361923874341
71,10425.936735585015
72,12457.097645555832
73,12518.986802102003
74,10064.644077671543
75,9391.466567703768
76,13976.529191107828
77,12603.348368414589
78,10197.67930876033
79,10905.654344254574
80,11614.295415586377
81,19476.915949778624
82,11270.741659025762
83,10681.912787390476
84,12278.0837976415
85,10537.488312961143
86,10154.998669195222
87,10252.283323737935
88,9997.756029485823
89,12164.75753201999
90,10642.909228715589
91,11603.421300196833
92,11759.452255427865
93,9577.119798372803
94,12893.333099736983
95,9202.419774546013
96,11722.085797253247
97,19710.63004811303
98,10164.099593740948
99,9474.272966716853
100,10063.3943931287
101,11377.424841593229
102,9671.118745950791
103,13591.45533614614
104,10876.867655519234
105,12717.20853371389
106,10239.830012282939
107,10202.802677497384
108,10569.892137591953
109,15669.039509223061
110,15104.250842616268
111,13673.007683562722
112,14639.988209531086
113,10435.423268317545
114,17083.913276633022
115,10644.612266168724
116,12572.991856145583
117,20460.60169367177
118,10503.844520444307
119,20793.106363540348
120,14761.365502267257
121,12751.068492961698
122,11430.404645593193
123,11424.049140017347
124,13615.817690185964
125,10712.347256326631
126,9960.698115537492
127,9942.187554355194
128,13939.756415675465
129,11038.128547650707
130,9465.255743232397
131,16810.46280020882
132,10016.030774210218
133,11231.027047230235
134,11086.5924622559
135,11092.506383476877
136,11329.554542649452
137,11998.26447031197
138,13156.078396845296
139,9171.45727146681
140,11083.435865215282
141,11218.538380389977
142,8837.165763077192
143,11945.617271863372
144,9606.95549703555
145,19822.145249193436
146,10656.57316318445
147,9624.163717072894
148,14586.941307164434
149,9377.19911260135
150,10803.850851169831
151,19356.631518320057
